Date,BTC,SPX
2025-07-24,118368.0,6363.35009765625
2025-07-25,117635.8828125,6388.64013671875
2025-07-28,117924.4765625,6389.77001953125
2025-07-29,117922.1484375,6370.85986328125
2025-07-30,117831.1875,6362.89990234375
2025-07-31,115758.203125,6339.39013671875
2025-08-01,113320.0859375,6238.009765625
2025-08-04,115071.8828125,6329.93994140625
2025-08-05,114141.4453125,6299.18994140625
2025-08-06,115028.0,6345.06005859375
2025-08-07,117496.8984375,6340.0
2025-08-08,116688.7265625,6389.4501953125
2025-08-11,118731.4453125,6373.4501953125
2025-08-12,120172.90625,6445.759765625
2025-08-13,123344.0625,6466.580078125
2025-08-14,118359.578125,6468.5400390625
2025-08-15,117398.3515625,6449.7998046875
2025-08-18,116252.3125,6449.14990234375
2025-08-19,112831.1796875,6411.3701171875
2025-08-20,114274.7421875,6395.77978515625
2025-08-21,112419.03125,6370.169921875
2025-08-22,116874.0859375,6466.91015625
2025-08-25,110124.3515625,6439.31982421875
2025-08-26,111802.65625,6465.93994140625
2025-08-27,111222.0625,6481.39990234375
2025-08-28,112544.8046875,6501.85986328125
2025-08-29,108410.8359375,6460.259765625
2025-09-02,111200.5859375,6415.5400390625
2025-09-03,111723.2109375,6448.259765625
2025-09-04,110723.6015625,6502.080078125
2025-09-05,110650.984375,6481.5
2025-09-08,112071.4296875,6495.14990234375
2025-09-09,111530.546875,6512.60986328125
2025-09-10,113955.359375,6532.0400390625
2025-09-11,115507.5390625,6587.47021484375
2025-09-12,116101.578125,6584.2900390625
2025-09-15,115444.875,6615.27978515625
2025-09-16,116843.1875,6606.759765625
2025-09-17,116468.5078125,6600.35009765625
2025-09-18,117137.203125,6631.9599609375
2025-09-19,115688.859375,6664.35986328125
2025-09-22,112748.5078125,6693.75
2025-09-23,112014.5,6656.919921875
2025-09-24,113328.6328125,6637.97021484375
2025-09-25,109049.2890625,6604.72021484375
2025-09-26,109712.828125,6643.7001953125
2025-09-29,114400.3828125,6661.2099609375
2025-09-30,114056.0859375,6688.4599609375
2025-10-01,118648.9296875,6711.2001953125
2025-10-02,120681.2578125,6715.35009765625
2025-10-03,122266.53125,6715.7900390625
2025-10-06,124752.53125,6740.27978515625
2025-10-07,121451.3828125,6714.58984375
2025-10-08,123354.8671875,6753.72021484375
2025-10-09,121705.5859375,6735.10986328125
2025-10-10,113214.3671875,6552.509765625
2025-10-13,115271.078125,6654.72021484375
2025-10-14,113118.6640625,6644.31005859375
2025-10-15,110783.1640625,6671.06005859375
2025-10-16,108186.0390625,6629.06982421875
2025-10-17,106467.7890625,6664.009765625
2025-10-20,110588.9296875,6735.1298828125
2025-10-21,108476.890625,6735.35009765625
2025-10-22,107688.5859375,6699.39990234375
2025-10-23,110069.7265625,6738.43994140625
2025-10-24,111033.921875,6791.68994140625
2025-10-27,114119.328125,6875.16015625
2025-10-28,112956.1640625,6890.89013671875
2025-10-29,110055.3046875,6890.58984375
2025-10-30,108305.546875,6822.33984375
2025-10-31,109556.1640625,6840.2001953125
2025-11-03,106547.5234375,6851.97021484375
2025-11-04,101590.5234375,6771.5498046875
2025-11-05,103891.8359375,6796.2900390625
2025-11-06,101301.2890625,6720.31982421875
2025-11-07,103372.40625,6728.7998046875
2025-11-10,105996.59375,6832.43017578125
2025-11-11,102997.46875,6846.60986328125
2025-11-12,101663.1875,6850.919921875
2025-11-13,99697.4921875,6737.490234375
2025-11-14,94397.7890625,6734.10986328125
2025-11-17,92093.875,6672.41015625
2025-11-18,92948.875,6617.31982421875
2025-11-19,91465.9921875,6642.16015625
2025-11-20,86631.8984375,6538.759765625
2025-11-21,85090.6875,6602.990234375
